refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
CITGO_LAKE_CHARLES,ISOM,28.0,27.45,2018,0.9804
CITGO_LAKE_CHARLES,NHT,131.2,128.2,2022,0.9771
CITGO_LAKE_CHARLES,REF,53.2,50.04,2023,0.9406
CITGO_LAKE_CHARLES,VDU,230.0,176.27,2018,0.7664
CITGO_LEMONT,ALKY,23.0,23.65,2023,1.0283
CITGO_LEMONT,CDU,188.7,180.69,2023,0.9576
CITGO_LEMONT,COKER,41.15,40.74,2024,0.99
CITGO_LEMONT,FCC,69.5,69.5,2024,1.0
CITGO_LEMONT,NHT,111.3,51.28,2024,0.4607
CITGO_LEMONT,REF,35.8,33.0,2018,0.9218
CITGO_LEMONT,VDU,77.2,76.8,2024,0.9948
CVR_COFFEYVILLE,ALKY,10.0,12.24,2023,1.224
CVR_COFFEYVILLE,CCR,26.0,24.83,2019,0.955
CVR_COFFEYVILLE,CDU,136.0,131.57,2017,0.9674
CVR_COFFEYVILLE,COKER,25.0,24.45,2019,0.978
CVR_COFFEYVILLE,FCC,36.0,40.99,2017,1.1386
CVR_COFFEYVILLE,NHT,36.0,35.69,2021,0.9914
CVR_COFFEYVILLE,VDU,46.0,45.69,2024,0.9933
CVR_WYNNEWOOD,ALKY,5.5,6.68,2023,1.2145
CVR_WYNNEWOOD,CCR,18.7,15.26,2017,0.816
CVR_WYNNEWOOD,CDU,78.0,73.39,2021,0.9409
CVR_WYNNEWOOD,FCC,22.0,21.62,2023,0.9827
CVR_WYNNEWOOD,ISOM,5.0,4.5,2023,0.9
CVR_WYNNEWOOD,NHT,26.9,21.13,2021,0.7855
CVR_WYNNEWOOD,VDU,40.3,23.42,2021,0.5811
DELEK_EL_DORADO_AR,ALKY,5.0,2.6,2024,0.52
DELEK_EL_DORADO_AR,CCR,15.3,15.0,2024,0.9804
DELEK_EL_DORADO_AR,CDU,85.0,77.99,2024,0.9175
DELEK_EL_DORADO_AR,FCC,21.0,18.37,2023,0.8748
DELEK_EL_DORADO_AR,ISOM,7.5,7.31,2023,0.9747
DELEK_EL_DORADO_AR,NHT,20.0,19.46,2017,0.973
DELEK_EL_DORADO_AR,VDU,45.0,25.69,2024,0.5709
DELEK_KROTZ_SPRINGS,ALKY,6.0,7.06,2024,1.1767
DELEK_KROTZ_SPRINGS,CDU,83.0,77.36,2023,0.932
DELEK_KROTZ_SPRINGS,ISOM,6.22,7.11,2018,1.1431
DELEK_KROTZ_SPRINGS,NHT,14.0,17.18,2023,1.2271
DELEK_KROTZ_SPRINGS,RCC,34.0,26.86,2024,0.79
DELEK_KROTZ_SPRINGS,REF,13.0,12.38,2017,0.9523
DELEK_KROTZ_SPRINGS,VDU,36.2,21.36,2023,0.5901
DELEK_TYLER,ALKY,4.7,4.95,2022,1.0532
DELEK_TYLER,CCR,13.0,15.77,2017,1.2131
DELEK_TYLER,CDU,76.0,72.72,2022,0.9568
DELEK_TYLER,COKER,7.5,8.1,2022,1.08
DELEK_TYLER,FCC,20.25,20.25,2019,1.0
DELEK_TYLER,ISOM,5.0,3.0,2024,0.6
DELEK_TYLER,NHT,28.0,25.45,2024,0.9089
DELEK_TYLER,REF,4.5,4.17,2021,0.9267
DELEK_TYLER,VDU,28.0,21.0,2022,0.75
EXXONMOBIL_BATON_ROUGE,ALKY,41.0,49.33,2024,1.2032
EXXONMOBIL_BATON_ROUGE,CCR,80.0,78.13,2024,0.9766
EXXONMOBIL_BATON_ROUGE,CDU,542.0,539.64,2022,0.9956
