month,flow,kbd,source
2026-02,BALANCE,46.0,Actual
2026-02,BLENDING,261.0,Actual
2026-02,CLOSTLV,48917.0,Actual
2026-02,IPTRANSF,-164.0,Actual
2026-02,PTRANSF,25.0,Actual
2026-02,RECEIPTS,450.0,Actual
2026-02,REFGROUT,440.0,Actual
2026-02,SPR,0.0,Actual
2026-02,STOCKCH,45.0,Actual
2026-02,TOTDEMO,199.0,Actual
2026-02,TOTEXPSB,478.0,Actual
2026-02,TOTIMPSB,22.0,Actual
2026-03,ADJFACT,0.0,Actual
2026-03,BALANCE,-66.0,Actual
2026-03,BLENDING,386.0,Actual
2026-03,CLOSTLV,46867.0,Actual
2026-03,IPTRANSF,-183.0,Actual
2026-03,PTRANSF,24.0,Actual
2026-03,RECEIPTS,593.0,Actual
2026-03,REFGROUT,421.0,Actual
2026-03,SPR,0.0,Actual
2026-03,STOCKCH,-66.0,Actual
2026-03,TOTDEMO,160.0,Actual
2026-03,TOTEXPSB,727.0,Actual
2026-03,TOTIMPSB,14.0,Actual
2026-04,ADJFACT,-1.0,Actual
2026-04,BALANCE,-46.0,Actual
2026-04,BLENDING,416.0,Actual
2026-04,CLOSTLV,45467.0,Actual
2026-04,IPTRANSF,-169.0,Actual
2026-04,PTRANSF,23.0,Actual
2026-04,RECEIPTS,608.0,Actual
2026-04,REFGROUT,418.0,Actual
2026-04,SPR,0.0,Actual
2026-04,STOCKCH,-47.0,Actual
2026-04,TOTDEMO,148.0,Actual
2026-04,TOTEXPSB,737.0,Actual
2026-04,TOTIMPSB,5.0,Actual
2026-05,ADJFACT,0.0,OilX
2026-05,BALANCE,-19.0,OilX
2026-05,BLENDING,346.0,OilX
2026-05,CLOSTLV,44871.0,OilX
2026-05,IPTRANSF,-179.0,OilX
2026-05,PTRANSF,24.0,OilX
2026-05,RECEIPTS,549.0,OilX
2026-05,REFGROUT,409.0,OilX
2026-05,SPR,0.0,Actual
2026-05,STOCKCH,-19.0,OilX
2026-05,TOTDEMO,145.0,OilX
2026-05,TOTEXPSB,647.0,OilX
2026-05,TOTIMPSB,18.0,OilX
2026-06,ADJFACT,0.0,OilX
2026-06,BALANCE,-18.0,OilX
2026-06,BLENDING,439.0,OilX
2026-06,CLOSTLV,44334.0,OilX
2026-06,IPTRANSF,-174.0,OilX
2026-06,PTRANSF,24.0,OilX
2026-06,RECEIPTS,637.0,OilX
2026-06,REFGROUT,371.0,OilX
2026-06,SPR,0.0,Actual
2026-06,STOCKCH,-18.0,OilX
2026-06,TOTDEMO,139.0,OilX
2026-06,TOTEXPSB,704.0,OilX
2026-06,TOTIMPSB,15.0,OilX
2026-07,ADJFACT,1.0,OilX
2026-07,BALANCE,2.0,OilX
2026-07,BLENDING,474.0,OilX
2026-07,CLOSTLV,44421.0,OilX
2026-07,IPTRANSF,-176.0,OilX
2026-07,PTRANSF,24.0,OilX
2026-07,RECEIPTS,674.0,OilX
2026-07,REFGROUT,357.0,OilX
2026-07,SPR,0.0,Actual
2026-07,STOCKCH,3.0,OilX
2026-07,TOTDEMO,146.0,OilX
2026-07,TOTEXPSB,696.0,OilX
2026-07,TOTIMPSB,13.0,OilX
